Date,Stock,Tickers,Open,Close,High,Low,IV under,IV over,price change %
3/8/21,,,,,,,,,
,GME,3850,154.89,194.5,210.87,146.1,370%,375%,25.57%
,SPY,3560,384.69,381.72,387.68,381.42,20.44%,20.17%,-0.77%
,TSLA,1460,600.55,563,620.12,558.79,109.96%,107.14%,-6.25%
,PLTR,996,23.77,22.52,24.58,22.4,123.94%,124.71%,-5.26%
,AAPL,896,120.93,116.36,121,116.21,49.46%,49.67%,-3.78%
,AMC,515,8.53,9.29,9.48,8.31,251.64%,273.86%,8.91%
,RKT,471,24.87,24.71,27.76,23.85,114.10%,109.89%,-0.64%
,NIO,243,36.97,35.21,39.48,34.9,116.91%,107.94%,-4.76%
,DIS,231,197.31,201.91,203.02,193.79,44.90%,44.85%,2.33%
,BB,227,9.39,9.75,10.02,9.19,151.13%,157.15%,3.83%
,AMD,212,78.03,73.96,79,73.86,63.96%,63.12%,-5.22%
,ARKK ,209,117,110.26,118.87,109.25,98.50%,93.51%,-5.76%
3/9/21,,,,,,,,,
,GME,3420,217.71,246.9,249.85,208.51,351.00%,361.93%,13.41%
,SPY,3390,385.88,387.17,389.91,385.31,21.16%,20.61%,0.33%
,TSLA,1740,608.18,673.58,678.09,595.21,93.47%,94.76%,10.75%
,AMC,1200,9.38,10.5,10.77,9.22,303.81%,331.73%,11.94%
,PLTR,751,23.38,24.26,24.74,23.1,96.69%,98.94%,3.76%
,RKT,402,25,25.49,27.39,23.93,null,null,1.96%
,AAPL,334,119.03,121.08,122.06,118.79,36.84%,35.71%,1.72%
,BB,316,10.19,10.45,10.68,10.03,124.59%,133.99%,2.55%
,NIO,296,37.48,41.35,42.08,36.52,99.98%,97.70%,10.33%
,DASH,247,132.91,141.48,147.21,130,132.37%,135.60%,6.45%
,DIS,217,200.18,194.51,201.7,194.37,46.38%,42.43%,-2.83%
,QQQ,201,307.47,311.77,313.73,306.92,36.23%,35.73%,1.40%
3/10/21,,,,,,,,,
,GME,5230,269.43,265,348.5,172,407.10%,420.19%,-1.64%
,SPY,3140,389.59,389.58,391.4,388.18,12.85%,7.32%,0.00%
,RBLX,2700,64.5,69.5,74.83,60.5,null,null,7.75%
,AMC,1950,11.02,9.85,12.47,9.51,252.65%,255.95%,-10.62%
,TSLA,1010,700.3,668.06,717.85,655.06,99.81%,98.24%,-4.60%
,PLTR,597,25.03,24.75,26.24,24.27,99.86%,100.53%,-1.12%
,RKT,384,25.4,25.95,28.68,25.02,133.27%,139.26%,2.17%
,AAPL,376,121.69,119.98,122.17,119.45,41.38%,40.55%,-1.41%
,BB,333,11.01,10.34,11.01,10.15,132.27%,152.30%,-6.09%
,NIO,223,43.5,41.32,45.26,40.25,107.29%,107.51%,-5.01%
,AMD,126,79.75,77.52,80.04,77.41,50.02%,49.38%,-2.80%
,QQQ,123,316.16,310.88,316.47,310.17,39.24%,37.83%,-1.67%
3/11/21,,,,,,,,,
,SPY,2670,392.24,393.53,395.65,391.74,16.27%,15.66%,0.33%
,GME,2500,241.64,260,281.5,232.6,248.49%,258.07%,7.60%
,RBLX,1010,74.93,73.9,77.78,70.13,null,null,-1.37%
,TSLA,928,699.4,699.6,702.5,677.18,83.53%,83.49%,0.03%
,PLTR,837,25.95,26.73,26.84,25.58,87.52%,91.59%,3.01%
,AMC,479,10.65,10.28,10.87,9.9,171.48%,208.93%,-3.47%
,NIO,370,44.44,46.03,46.16,42.8,90.02%,88.46%,3.58%
,AAPL,336,122.54,121.96,123.21,121.26,32.03%,31.44%,-0.47%
,TLRY,273,24.77,28.2,28.3,24.31,254.70%,272.91%,13.85%
,APHA,246,22.66,24.8,24.88,22.57,129.16%,138.75%,9.44%
,RKT,192,26.32,25.83,27.84,25.66,93.41%,107.33%,-1.86%
,AMD,164,79.4,81.23,81.89,79.37,39.48%,41.60%,2.30%
3/12/21,,,,,,,,,
,SPY,2230,392.09,394.06,394.2,391.2,17.80%,17.80%,0.50%
,GME,1940,275,264.5,295.5,262.27,286.25%,286.25%,-3.82%
,TSLA,638,670,693.73,694.88,666.14,93.32%,93.32%,3.54%
,BB,588,10.47,11.85,11.93,10.36,85.58%,85.58%,13.18%
,PLTR,557,25.74,26.92,26.92,25.18,99.47%,99.47%,4.58%
,AMC,492,10.16,11.16,11.4,9.94,128.79%,128.79%,9.84%
,APHA,276,23.49,24.94,25.75,23.23,133.78%,133.78%,6.17%
,AAPL,256,120.4,121.03,121.17,119.16,35.79%,35.79%,0.52%
,NIO,189,43.51,45.5,45.8,42.76,110.78%,110.78%,4.57%
,RBLX,186,72.47,69.7,72.96,69.11,null,null,-3.82%
,BA,150,253.86,269.19,269.72,253.5,55.80%,55.80%,6.04%
,MVIS,135,15.2,17.46,18.22,14.71,197.99%,197.99%,14.87%
3/15/21,,,,,,,,,
,GME,2750,277.52,220.14,283,206,490.60%,,-20.68%
,SPY,2200,394.4,396.41,396.68,392.04,22.09%,,0.51%
,AMC,1850,12.18,14.04,14.49,11.85,277.23%,,15.27%
,PLTR,527,27.35,26.79,27.47,26.31,94.66%,,-2.05%
,TSLA,525,694.09,707.94,713.18,684.04,82.21%,,2.00%
,AAPL,379,121.41,123.99,124,120.42,35%,,2.13%
,BB,339,12.09,11.68,12.52,11.55,127.02%,,-3.39%
,NOK,227,4.29,4.3,4.39,4.26,95.57%,,0.23%
,APHA,266,25.35,27.65,28.04,25.04,125.73%,,9.07%
,NIO,253,45.55,44.93,46.29,44.38,90.71%,,-1.36%
,RKT,251,25.65,25.8,26.66,25.12,122.54%,,0.58%
,SNDL,209,1.43,1.62,1.65,1.43,333.16%,,13.29%
3/16/21,,,,,,,,,
,SPY,2400,397.06,395.91,397.83,395.08,17.86%,,-0.29%
,GME,2360,203.16,208.17,220.7,172.35,296.92%,,2.47%
,AMC,761,13.62,13.02,13.62,12.34,147.75%,,-4.41%
,TSLA,577,703.35,676.88,707.92,671,95.67%,,-3.76%
,PLTR,572,26.75,25.61,27.1,25.23,88.51%,,-4.26%
,APPL,384,125.7,125.57,127.22,124.72,37.08%,,-0.10%
,RKT,223,26.11,25,26.93,24.93,244.86%,,-4.25%
,PLUG,222,44.86,42.68,45.15,41.95,137.29%,,-4.86%
,RBLX,204,73.73,77,78,73.18,115.25%,,4.44%
,BB,192,11.87,11.46,12.2,11.27,76.81%,,-3.45%
,GOEV,190,15.8,15.44,16.68,15.07,107.78%,,-2.28%
,SNDL,188,1.74,1.51,1.75,1.45,139.55%,,-13.22%
3/17/21,,,,,,,,,
,SPY,3080,394.56,397.26,398.11,393.3,1.45%,,0.68%
,GME,1520,217.84,209.81,231.47,204,350.15%,,-3.69%
,TSLA,653,656.87,701.81,703.73,651.01,72.15%,,6.84%
,PLUG,532,37.03,39.33,39.97,34.2,158.87%,,6.21%
,AMC,514,13.24,13.56,13.66,13,205.59%,,2.42%
,PLTR,493,24.52,25.21,25.73,24.3,84.33%,,2.81%
,AAPL,365,124.05,124.76,125.86,122.34,34.94%,,0.57%
,RKT,201,24.82,24.5,25.13,24.15,100.81%,,-1.29%
,SNDL,167,1.41,1.54,1.59,1.38,353.89%,,9.22%
,ET,150,8.08,8.14,8.3,8.05,50.39%,,0.74%
,NIO,141,41.9,44.76,45.02,41.33,75.11%,,6.83%
,GLD,132,162.29,163.51,164.13,161.48,19.30%,,0.75%
3/18/21,,,,,,,,,
,SPY,3360,394.48,391.48,396.72,390.75,22.50%,,-0.76%
,GME,1180,214,201.75,218.88,195.65,302.60%,,-5.72%
,AMC,550,14.34,14,14.54,13.57,175.70%,,-2.37%
,TSLA,549,684.29,653.16,689.23,652,94.47%,,-4.55%
,PLTR,401,24.73,23.98,25.18,23.78,69.22%,,-3.03%
,AAPL,399,122.88,120.53,123.18,120.32,38.60%,,-1.91%
,UPST,288,83.54,115.09,124.75,81.96,253.30%,,37.77%
,RKT,251,24.3,23.1,24.6,23.06,246.06%,,-4.94%
,AMD,205,81.06,78.12,81.62,78.01,54.05%,,-3.63%
,NIO,130,43.3,41.63,44.26,41.45,113.94%,,-3.86%
,PLUG,128,37.5,36.36,38.57,36.06,129.66%,,-3.04%
,NOK,127,4.04,3.91,4.13,3.91,47.02%,,-3.22%
3/19/21,,,,,,,,,
,SPY,2360,389.94,389.48,391.56,387.15,2.94%,,-0.12%
,GME,1340,195.73,200.27,227,182.66,46.16%,,2.32%
,TSLA,550,646.6,654.87,657.23,624.62,12.86%,,1.28%
,AMC,524,14.14,13.93,14.18,13.28,33.52%,,-1.49%
,AAPL,415,119.9,119.99,121.43,119.68,10.65%,,0.08%
,PLTR,265,24.01,24.32,24.57,23.39,25%,,1.29%
,RKT,173,23.24,23.07,23.64,22.73,22.85%,,-0.73%
,DIS,135,190.92,191.14,194,189.76,27.84%,,0.12%
,PLUG,123,35,38.28,38.57,34.5,21.69%,,9.37%
,AMD,113,78.49,79.06,79.34,77.59,8.51%,,0.73%
,QQQ,110,311.87,313.14,314.73,309.66,2.46%,,0.41%
,NIO,99,41.44,43.35,43.4,40.44,14.98%,,4.61%
3/22/21,,,,,,,,,
,SPY,1970,390.01,392.59,394.06,389.98,18.62%,,0.66%
,GME,1240,205.26,194.49,210.36,186.2,293.83%,,-5.25%
,TSLA,899,684.59,670,699.62,668.75,94.20%,,-2.13%
,AMC,707,13.15,12.49,13.19,11.76,155.07%,,-5.02%
,PLTR,511,24.89,24.22,24.92,23.86,67.99%,,-2.69%
,AAPL,437,120.33,123.39,123.87,120.26,38.91%,,2.54%
,RKT,180,23.24,22.99,23.46,22.84,97.09%,,-1.08%
,NIO,166,44.07,42.94,44.56,42.58,110.96%,,-2.56%
,UPST,162,127.94,164.87,165.66,124.05,283.48%,,28.87%
,MOON,126,44.98,44.3,45.13,43.28,null,,-1.51%
,AMD,123,79.99,80.3,81.26,79.22,52.62%,,0.39%
,APHA,108,19.46,18.76,19.66,18.62,106.68%,,-3.60%
3/23/21,,,,,,,,,
,SPY,3020,391.89,389.5,393.45,388.66,12.53%,,-0.61%
,GME,2690,197.5,181.75,201.75,177.55,350.22%,,-7.97%
,AMC,628,11.46,10.66,11.93,10.37,195.01%,,-6.98%
,PLTR,620,24,23.26,24.1,23.1,90.27%,,-3.08%
,TSLA,474,675.77,662.16,677.8,657.51,81.73%,,-2.01%
,RKT,378,23.33,23.04,24.69,22.96,88.08%,,-1.24%
,AMD,316,80.13,78.38,80.34,77.95,48.39%,,-2.18%
,AAPL,299,123.33,122.54,124.24,122.14,34.53%,,-0.64%
,INTC,265,66,63.48,66.05,63.17,47.28%,,-3.82%
,UPST,139,159.97,118.48,164.06,115.58,152.62%,,-25.94%
,QQQ,128,319.73,317.22,321.09,316.38,32.60%,,-0.79%
,NIO,124,42.58,41.18,43.11,40.98,108.08%,,-3.29%
3/24/21,,,,,,,,,
,SPY,3340,391,387.52,392.75,387.47,16.45%,,-0.89%
,GME,2680,157.98,120.34,166.97,118.62,275.11%,,-23.83%
,PLTR,779,23.3,21.88,23.49,21.75,64.58%,,-6.09%
,AMC,568,10.82,9.02,11.21,8.93,171.59%,,-16.64%
,TSLA,566,667.91,630.27,668.02,630.11,88.73%,,-5.64%
,NIO,437,41.2,36.96,41.29,36.58,110.38%,,-10.29%
,AAPL,280,122.82,120.09,122.9,120.07,37.63%,,-2.22%
,AMD,209,77.55,76.48,78.8,76.4,49.28%,,-1.38%
,RKT,172,23.32,22.52,23.57,22.48,88.30%,,-3.43%
,DIS,144,190.06,184.72,190.5,184.64,32.80%,,-2.81%
,CRSR,139,32.12,30.8,32.77,30.71,51.44%,,-4.11%
,INTC,126,66.58,62.04,67.44,61.99,38.14%,,-6.82%
3/25/21,,,,,,,,,
,SPY,3210,,,,,16.94%,,#DIV/0!
,GME,2120,,,,,412.27%,,#DIV/0!
,AMC,614,,,,,204.47%,,#DIV/0!
,TSLA,567,,,,,70.76%,,#DIV/0!
,PLTR,505,,,,,74.16%,,#DIV/0!
,AAPL,327,,,,,32.90%,,#DIV/0!
,NIO,285,,,,,114.89%,,#DIV/0!
,CRSR,256,,,,,64.65%,,#DIV/0!
,QQQ,144,,,,,27.02%,,#DIV/0!
,AMD,130,,,,,41.94%,,#DIV/0!
,GLD,112,,,,,16.76%,,#DIV/0!
,BB,112,,,,,110.95%,,#DIV/0!
3/26/21,,,,,,,,,
,SPY,2390,390.98,395.98,396.41,390.29,,,
,GME,1420,197.68,181,218.93,163.26,,,
,TSLA,846,641.87,618.71,643.82,599.89,,,
,PLTR,450,22.63,22.58,23.05,21.76,,,
,NIO,418,35.65,36.13,36.65,34,,,
,AAPL,349,120.35,121.21,121.48,118.92,,,
,AMC,337,11.27,10.24,11.53,10.01,,,
,VIAC,270,65.75,48.23,66.27,39.81,,,
,RKT,204,22.3,23.91,24.13,22.09,,,
,FUBO,132,26,21.88,26.67,20.69,,,
,ROOT,130,13.5,14.34,15.41,13.12,,,
,BIDU,112,190.84,208.61,109.32,174.05,,,